material_id,formula,formation_energy_per_atom
mp-1244953,Al,0.09572362819999901
mp-1245067,Al,0.11430868649999901
mp-1245129,Al,0.094750410799999
mp-1245152,Al,0.102081550799999
mp-1245307,Al,0.10754954109999901
mp-1239196,Al,0.302125532499999
mp-1183144,Al,0.0104807275
mp-2647008,Al,0.032078225
mp-134,Al,0.0
mp-998860,Al,0.10340029
mp-1244960,AlF3,-3.682677069399999
mp-1245145,AlF3,-3.6931852623999992
mp-1245158,AlF3,-3.670061017199999
mp-635425,AlF3,-3.59402027375
mp-1251148,AlF3,-3.82961855875
mp-1399,AlAu,-0.42298121250000104
mp-570987,Ce3Al,-0.224513107499998
mp-1228806,AlSb,-0.014394015000000001
mp-1228854,AlNi,-0.438242119999999
mp-1228956,AlAu4,-0.152588825999998
mp-2500,AlCu,-0.24248409
mp-25469,AlCl3,-1.692806269374999
mp-1039141,MgAl,0.0143388125
mp-1228868,AlNi,-0.6581211049999991
mp-1953,TiAl,-0.44695741333333305
mp-20130,Pu3Al,0.19264780328123202
mp-771,MnAl,-0.272285743965517
mp-988939,AlAs,-0.0017720312500000002
mp-1079182,AlPt3,-0.739600528749988
mp-1182870,AlPt3,-0.5689207268749921
mp-555026,AlF3,-3.850576290499999
mp-607111,AlPt3,-0.7531256231249941
mp-997569,AlP,-0.068993173988094
mp-1228815,AlRe,-0.382194888749999
mp-1323,AlF3,-3.851997168593749
mp-1193531,Ta2Al,-0.29570217388888903
mp-18427,Nb2Al,-0.345805192333333
mp-639874,Ta2Al,-0.12393910155555302
mp-1018166,AlTc2,-0.467612646666665
mp-1018179,AlAu2,-0.317411696666667
mp-10909,AlRe2,-0.32302287499999705
mp-1094961,Mg3Al,0.03952205625
mp-1183203,AlGe3,0.250985838749999
mp-1183208,AlGa3,0.124630765
mp-1183215,AlCd3,0.11532127250000102
mp-1183278,AlPb3,0.156096374999997
mp-1184882,K3Al,0.30760282525000004
mp-1699,AlCr2,0.035209829999999005
mp-862848,Pa3Al,-0.13792461249999302
mp-975056,Rb3Al,0.35960448437499903
mp-975868,Li3Al,-0.07757908000000001
mp-1182886,AlO3,-1.4760469203125
mp-1182915,AlO3,-1.2797466865625
mp-23288,AlBr3,-1.518050286874999
mp-30930,AlI3,-0.9552141906250001
mp-1080448,AlPt3,-0.750710777499989
mp-12772,Hf2Al,-0.31007932000000404
mp-12773,Zr2Al,-0.36838501500000104
mp-1651,Th2Al,-0.26241455999998603
mp-1228988,AlAg3,-0.072474530250002
mp-669546,AlPd,-0.9276591973076921
mp-1102672,Sr2Al,-0.01727903941358
mp-1183007,AlF3,-3.85647464125
mp-1205393,AlO3,-1.461905772499999
mp-1214861,AlH6,0.9666264226785701
mp-1103295,AlF3,-3.8628652050000003
mp-1182868,AlO3,-1.486638615
mp-1025044,AlNi2,-0.490064431666665
mp-25470,AlCl3,-0.7835284556249991
mp-1038779,MgAl,0.06514492250000001
mp-1219773,Pu3Al,0.22241584578124202
mp-1228933,AlCo4,-0.007462145000000001
mp-1228947,AlAg4,0.015597754066666001
mp-1253219,AlO3,-1.58773486125
mp-23933,AlH3,-0.073632082812499
mp-35200,AlO3,-1.58718572
mp-468,AlF3,-3.86576940625
mp-1018100,AlSb,-0.24409026249999802
mp-661,AlN,-1.6796721718749992
mp-8880,AlP,-0.732814428988096
mp-8881,AlAs,-0.619637686249999
mp-1016271,Mg7Al,0.041225045625000005
mp-1023506,Mg15Al,0.039757760937499005
mp-1039019,MgAl,0.05358336749999901
mp-1185596,Mg149Al,0.002754187233333
mp-1217008,TiAl,-0.29149810333333304
mp-1217072,Ti3Al,-0.143674038749999
mp-1228901,AlAg,-0.029985952500000003
mp-7760,AlSn,0.2070903175
mp-944,AlB2,-0.050413121666666005
mp-985578,AlFe,0.46102108
mp-985579,AlFe2,-0.141337556666666
mp-1079240,LiAl,-0.12185767833333301
mp-1079266,Pr3Al,-0.212668897499998
mp-1080098,Nd3Al,-0.229044203124999
mp-1080667,AlCo3,-0.178359348749998
mp-1084828,La3Al,-0.257904241249999
mp-1094664,MgAl,0.6173446
mp-1094970,Mg3Al,0.029916161250000003
mp-11209,AlAs,-0.378745271249999
mp-11220,Sc2Al,-0.366392015
mp-1183188,AlTc3,-0.152410869999997
mp-1183216,AlCu3,-0.1994387025
mp-1183223,AlAu3,-0.199118088749997
mp-1183232,AlNi3,-0.40519879874999903
mp-1183279,AlPb3,0.196926847499995
mp-1183306,AlRh3,-0.50482574375
mp-1184122,Dy3Al,-0.23901492874999802
mp-1184670,Hf3Al,-0.24114130625000002
mp-1186496,Pm3Al,-0.23866159562500003
mp-1187635,Tm3Al,-0.23584128125000303
mp-1188018,Zr3Al,-0.30851325624999804
mp-13178,AlN,-1.564381941874998
mp-1823,Ti3Al,-0.29721952624999803
mp-21393,Ce3Al,-0.21394430624999902
mp-2557,Zr2Al,-0.397530758333334
mp-862259,Sc3Al,-0.288817323749999
mp-973266,Lu3Al,-0.233513876249993
mp-979266,Sm3Al,-0.23774359
mp-10904,AlPt,-1.13101585
mp-1182885,AlCu4,-0.12646613250000002
mp-1490,AlAu4,-0.22434480649999902
mp-27233,SrAl,-0.19140256437500003
