Solute_encoded,Solvent_encoded,Potential_ID,Alpha,Mu,Sigma,solvent_density,solvent_shear,solute_density,solute_shear,PC2,PC3,PC4,PC5,density_ratio,density_diff,density_mismatch_pct,shear_ratio,shear_diff,shear_mismatch_pct,combined_mismatch
1,0,1,0.0,-3,-0.9868604301516797,0.0630078117636515,-0.8727210902602789,-1.355699319248834,-1.114837111893555,-0.9035540309257589,1.1811724493866658,-0.48637877934956597,-0.10595399236066244,-21.51636886445439,-1.4187071310124855,22.516368864454385,1.2774265734326047,-0.24211602163327606,-0.2774265734326047,-6.2466390602101685
2,0,2,0.8,-2,-1.042881355926044,0.0630078117636515,-0.8727210902602789,1.5805764156012974,-1.0454070793039472,1.0136233056920234,1.0631827187727092,1.5698497647484486,0.35926125694638505,25.08540403736278,1.517568603837646,24.085404037362782,1.1978707641775526,-0.17268598904366828,-0.19787076417755264,4.765797302398085
2,0,3,0.0,0,-1.042881355926044,0.0630078117636515,-0.8727210902602789,1.5805764156012974,-1.0454070793039472,1.0136233056920234,1.0631827187727092,1.5698497647484486,0.35926125694638505,25.08540403736278,1.517568603837646,24.085404037362782,1.1978707641775526,-0.17268598904366828,-0.19787076417755264,4.765797302398085
2,0,1,2.6,-2,-0.8748185786029513,0.0630078117636515,-0.8727210902602789,1.5805764156012974,-1.0454070793039472,0.9376478478449434,0.9731635329359192,1.6243312936021945,0.28007840607721496,25.08540403736278,1.517568603837646,24.085404037362782,1.1978707641775526,-0.17268598904366828,-0.19787076417755264,4.765797302398085
3,0,1,-0.2,3,-0.4826720981824022,0.0630078117636515,-0.8727210902602789,-0.17858453854049944,0.3996217263157189,0.5157777134714686,0.1707788442122185,-0.3375387819410273,-0.5339250658235231,-2.8343237694143006,-0.24159235030415094,3.8343237694143006,-0.45790313855774517,1.2723428165759978,-1.4579031385577452,5.590072657675673
5,0,2,0.0,-5,-0.5947139497311306,0.0630078117636515,-0.8727210902602789,-0.1876436229519152,-0.14801740714388464,0.2332910371408324,0.482017446400717,-0.06866067056908566,-0.34759172032729435,-2.978100932242892,-0.2506514347155667,3.9781009322428926,0.1696044805101939,0.7247036831163942,-0.830395519489806,3.3033971902127184
5,0,3,-1.2,3,-0.3706302466336739,0.0630078117636515,-0.8727210902602789,-0.1876436229519152,-0.14801740714388464,0.13199042667805908,0.36199186528499705,0.003981367902575663,-0.4531688548195212,-2.978100932242892,-0.2506514347155667,3.9781009322428926,0.1696044805101939,0.7247036831163942,-0.830395519489806,3.3033971902127184
5,0,4,0.0,-5,-0.5386930239567663,0.0630078117636515,-0.8727210902602789,-0.1876436229519152,-0.14801740714388464,0.20796588452513906,0.45201105112178697,-0.05050016095117032,-0.3739860039503511,-2.978100932242892,-0.2506514347155667,3.9781009322428926,0.1696044805101939,0.7247036831163942,-0.830395519489806,3.3033971902127184
5,0,5,-1.2,2,-0.09052561776185303,0.0630078117636515,-0.8727210902602789,-0.1876436229519152,-0.14801740714388464,0.0053646635995924325,0.21195988889034714,0.09478391599215229,-0.5851402729348046,-2.978100932242892,-0.2506514347155667,3.9781009322428926,0.1696044805101939,0.7247036831163942,-0.830395519489806,3.3033971902127184
5,0,1,0.0,1,-0.6507348755054947,0.0630078117636515,-0.8727210902602789,-0.1876436229519152,-0.14801740714388464,0.2586161897565257,0.5120238416796469,-0.08682118018700098,-0.32119743670423767,-2.978100932242892,-0.2506514347155667,3.9781009322428926,0.1696044805101939,0.7247036831163942,-0.830395519489806,3.3033971902127184
