Solvent,Solute,Potential_ID,Alpha,Mu,Sigma,R_Squared
Ag,Al,1,0.0,-3,3,0.98
Ag,Au,2,0.8,-2,2,1.00
Ag,Au,3,0.0,0,2,1.00
Ag,Au,1,2.6,-2,5,1.00
Ag,Co,1,-0.2,3,12,1.00
Ag,Cu,2,0.0,-5,10,1.00
Ag,Cu,3,-1.2,3,14,1.00
Ag,Cu,4,0.0,-5,11,1.00
Ag,Cu,5,-1.2,2,19,1.00
Ag,Cu,1,0.0,1,9,1.00
Ag,Fe,1,2.2,-2,15,1.00
Ag,Mg,1,-3.0,1,12,1.00
Ag,Mo,1,2.7,-3,11,0.99
Ag,Ni,2,-0.6,-1,14,1.00
Ag,Ni,3,-1.1,4,16,1.00
Ag,Ni,6,0.7,-26,17,0.98
Ag,Ni,1,-0.3,4,11,1.00
Ag,Pb,1,-2.7,-9,23,1.00
Ag,Pd,2,1.2,-4,8,1.00
Ag,Pd,3,1.2,-3,8,1.00
Ag,Pd,1,1.9,-2,8,1.00
Ag,Pt,2,1.7,-4,11,1.00
Ag,Pt,3,1.6,-4,11,1.00
Ag,Pt,1,1.6,-3,9,1.00
Ag,Ta,1,1.5,-8,9,0.99
Ag,Ti,1,2.3,-1,4,0.98
Ag,W,1,2.7,-3,14,0.98
Ag,Zr,1,0.6,-5,9,1.00
Al,Ag,1,1.3,1,4,1.00
Al,Au,1,1.8,0,4,1.00
Al,Co,7,-3.3,-1,31,1.00
Al,Co,1,3.0,6,10,1.00
Al,Cu,8,-1.6,-2,17,1.00
Al,Cu,9,-0.8,11,20,1.00
Al,Cu,10,0.7,1,13,1.00
Al,Cu,11,1.0,-22,22,1.00
Al,Cu,1,1.6,8,6,1.00
Al,Fe,12,0.3,-5,13,1.00
Al,Fe,10,1.8,15,38,1.00
Al,Fe,1,2.5,11,10,0.98
Al,Mg,13,0.0,-7,12,0.97
Al,Mg,14,-2.1,2,15,1.00
Al,Mg,15,-2.3,9,23,1.00
Al,Mg,10,0.6,-62,36,1.00
Al,Mg,16,-1.4,-4,21,1.00
Al,Mg,1,-1.6,-3,13,1.00
Al,Mo,1,1.0,-4,12,0.99
Al,Nb,17,0.5,72,15,1.00
Al,Ni,18,2.6,-6,11,0.99
Al,Ni,19,-1.9,-28,29,1.00
Al,Ni,20,0.0,-1,17,1.00
Al,Ni,21,-1.9,13,21,1.00
Al,Ni,22,-1.3,9,16,0.99
Al,Ni,1,2.1,7,9,0.99
Al,Pb,23,-0.9,-41,20,1.00
Al,Pb,1,-0.9,-46,20,1.00
Al,Pd,1,1.7,7,5,0.99
Al,Pt,1,1.1,9,6,0.99
Al,Si,10,-2.0,-86,21,0.99
Al,Sm,24,-1.9,-36,43,0.99
Al,Ta,1,-0.8,4,9,1.00
Al,Ti,17,1.5,-5,18,1.00
Al,Ti,25,1.7,7,12,1.00
Al,Ti,1,1.3,-3,6,0.99
Al,W,1,1.1,-4,14,0.99
Al,Zn,16,-1.8,11,17,1.00
Al,Zr,1,-0.9,-5,11,1.00
Au,Ag,2,2.2,1,1,0.99
Au,Ag,3,2.0,1,1,0.99
Au,Ag,1,-1.4,5,6,1.00
Au,Al,1,0.0,-4,3,0.96
Au,Co,1,1.0,-6,12,1.00
Au,Cu,2,-1.3,2,14,1.00
Au,Cu,3,-0.4,-3,12,1.00
Au,Cu,1,0.7,-1,7,1.00
Au,Fe,1,2.3,0,14,1.00
Au,Mg,1,-2.2,6,20,0.99
Au,Mo,1,2.1,-2,9,1.00
Au,Ni,2,-1.6,2,17,1.00
Au,Ni,3,0.0,-11,13,1.00
Au,Ni,1,0.8,-5,11,1.00
Au,Pb,1,-0.8,-26,26,0.99
Au,Pd,2,1.7,-1,4,1.00
Au,Pd,3,2.1,-1,5,1.00
Au,Pd,1,1.8,1,4,1.00
Au,Pt,2,2.4,-2,7,1.00
Au,Pt,3,2.7,-2,7,1.00
Au,Pt,26,0.7,6,19,1.00
Au,Pt,1,1.4,-6,9,1.00
Au,Si,27,-1.6,-30,15,0.99
Au,Ta,1,1.0,-7,6,1.00
Au,Ti,1,-0.5,1,3,1.00
Au,W,1,2.2,-3,9,1.00
Au,Zr,1,-1.4,-2,12,0.99
Co,Ag,1,-1.9,6,38,1.00
Co,Al,7,-1.2,0,16,1.00
Co,Al,1,-2.1,2,24,1.00
Co,Au,1,-1.2,2,25,1.00
Co,Cr,28,-1.8,0,4,1.00
Co,Cu,28,-1.2,-3,9,1.00
Co,Cu,1,-3.1,1,6,1.00
Co,Fe,28,1.7,-1,5,1.00
Co,Fe,1,-0.8,-1,4,1.00
Co,Mg,1,-1.8,-13,58,1.00
Co,Mo,1,0.0,-16,26,0.99
Co,Ni,7,0.0,-18,17,0.98
Co,Ni,29,0.8,2,3,1.00
Co,Ni,28,1.1,-1,3,1.00
Co,Ni,1,-1.4,0,2,1.00
Co,Pb,1,-1.3,-59,64,1.00
Co,Pd,1,-1.6,6,24,1.00
Co,Pt,1,-0.9,6,13,1.00
Co,Ta,1,0.0,-5,26,0.99
Co,Ti,1,-1.8,10,33,1.00
Co,W,1,-1.0,7,36,1.00
Co,Zr,1,-1.7,8,47,1.00
Cr,Fe,30,0.0,-4,16,0.80
Cr,Fe,31,-1.5,-2,25,0.97
Cr,Fe,32,-0.9,-3,5,0.96
Cr,Ni,33,1.0,-109,53,0.99
Cr,Ni,32,-2.0,-3,7,0.99
Cr,W,34,-2.8,49,147,0.99
Cu,Ag,2,-1.5,4,17,1.00
Cu,Ag,3,-1.6,-1,19,0.99
Cu,Ag,4,-1.7,5,25,0.99
Cu,Ag,5,-1.9,9,25,1.00
Cu,Ag,1,-1.9,-8,18,1.00
Cu,Al,8,0.8,4,7,1.00
Cu,Al,9,1.9,-12,21,1.00
Cu,Al,10,1.4,-28,21,1.00
Cu,Al,11,-1.9,-27,56,1.00
Cu,Al,1,-2.1,-7,12,1.00
Cu,Au,2,-0.8,-4,16,0.99
Cu,Au,3,-2.0,3,21,1.00
